Current Education Level,Stream / Specialization,Latest Grade / CGPA,Technical / Hard Skills,Soft Skills,Personality Type,"Salary Expectation (Annual, in INR)",Certifications Obtained,Preferred Work Environment,Learning Style,Open to Relocating,Willingness to Pursue Higher Studies,Recommended Career Path
B.Com,Commerce,8.78,"SQL, Financial Modeling, Tableau","Attention to Detail, Analytical Skills",Extrovert,4-8 LPA,CFA,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
B.Com,Finance,8.21,"MS Excel, Financial Modeling","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,No,Yes,Financial Analyst
M.Tech,AI & ML,9.72,"Python, Computer Vision, TensorFlow","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
MBA,Finance,8.54,"MS Excel, Financial Modeling","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
MBA,Business Administration,8.92,"Digital Marketing, SEO","Communication, Creativity",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Des,Fine Arts,8.04,"Adobe Photoshop, Adobe Illustrator, Figma","Attention to Detail, Creativity",Introvert,Less than 4 LPA,No Certification,I prefer working alone,Kinesthetic,No,No,Graphic Designer
B.Com,Finance,8.84,"MS Excel, Tableau, SQL","Analytical Skills, Attention to Detail",Ambivert,8-12 LPA,No Certification,I prefer working alone,Visual,Maybe,No,Business Analyst
B.A.,Fine Arts,8.77,"Adobe Illustrator, Adobe Photoshop","Attention to Detail, Creativity",Ambivert,4-8 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.A.,Graphic Design,8.19,"Adobe Photoshop, Figma, Adobe Illustrator","Attention to Detail, Creativity",Introvert,4-8 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Tech,Computer Science,8.4,"Java, SQL, Git, JavaScript","Problem-Solving, Teamwork",Ambivert,12+ LPA,Coursera - Python for Everybody,I like a mix of both,Kinesthetic,Yes,No,Software Developer
MBA,Business Administration,7.71,"SEO, Google Analytics, Digital Marketing","Communication, Leadership",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
MBA,Marketing,7.14,"Google Analytics, SEO, Digital Marketing","Communication, Creativity",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Tech,Mechanical Engineering,8.11,"MATLAB, SolidWorks, AutoCAD","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
B.A.,Fine Arts,8.41,"Adobe Photoshop, Figma, Adobe Illustrator","Creativity, Attention to Detail",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,No,UI/UX Designer
B.Des,Human-Computer Interaction,7.74,"Sketch, User Research, Adobe XD","Problem-Solving, Creativity",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
M.Tech,Computer Science,9.02,"Computer Vision, PyTorch","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
MBA,Marketing,7.15,"Social Media Management, SEO, Google Analytics, Digital Marketing","Leadership, Creativity",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.Tech,Mechanical Engineering,7.36,"AutoCAD, MATLAB","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
M.Tech,AI & ML,9.28,"Computer Vision, NLP, PyTorch, Python","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
BBA,Business Administration,8.79,"SEO, Social Media Management, Google Analytics","Communication, Creativity",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Social Media Manager
Diploma,Mechanical Engineering,7.15,"SolidWorks, MATLAB, AutoCAD","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
BBA,Business Administration,8.03,"Digital Marketing, Google Analytics","Communication, Creativity",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.A.,Graphic Design,7.93,"Figma, Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Tech,Mechanical Engineering,7.78,"MATLAB, AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Com,Commerce,8.5,"MS Excel, SQL","Attention to Detail, Analytical Skills",Extrovert,4-8 LPA,No Certification,I prefer working alone,Visual,No,Yes,Financial Analyst
MBA,Finance,8.18,"Financial Modeling, SQL","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,No Certification,I prefer working alone,Read/Write,Maybe,No,Financial Analyst
B.Tech,Computer Science,8.88,"SQL, Java, JavaScript, Python, Git","Problem-Solving, Teamwork",Introvert,12+ LPA,Coursera - Python for Everybody,I like a mix of both,Visual,Yes,No,Software Developer
B.Des,Graphic Design,7.76,"User Research, Sketch, Figma, Adobe XD","Empathy, Creativity",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
B.Com,Finance,8.16,"Tableau, SQL, Financial Modeling, MS Excel","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,Maybe,No,Financial Analyst
B.Tech,Data Science,8.76,"R, Scikit-learn, TensorFlow, Python, SQL","Critical Thinking, Problem-Solving",Ambivert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,No,Data Scientist
MBA,Commerce,8.74,"MS Excel, Financial Modeling","Analytical Skills, Attention to Detail",Extrovert,8-12 LPA,No Certification,I prefer working alone,Read/Write,No,Yes,Financial Analyst
MBA,Marketing,8.91,"Social Media Management, Digital Marketing, Google Analytics","Creativity, Communication",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.Tech,Mechanical Engineering,8.07,"MATLAB, AutoCAD","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Com,Commerce,7.98,"Financial Modeling, Tableau, MS Excel","Analytical Skills, Attention to Detail",Ambivert,8-12 LPA,CFA,I prefer working alone,Visual,No,Yes,Financial Analyst
B.Tech,Computer Science,9.15,"Scikit-learn, SQL","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
B.Tech,Data Science,9.49,"R, Python","Critical Thinking, Problem-Solving",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
MBA,Finance,9.06,"SQL, Financial Modeling, Tableau","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,No,No,Financial Analyst
B.Tech,Computer Science,8.16,"Git, SQL, Python, Java, JavaScript","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working alone,Visual,Maybe,No,Software Developer
M.Tech,Data Science,9.75,"Python, R, SQL, Scikit-learn","Critical Thinking, Problem-Solving",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Tech,Computer Science,8.48,"Java, SQL, Git, JavaScript","Teamwork, Problem-Solving",Introvert,12+ LPA,Coursera - Python for Everybody,I prefer working alone,Visual,Maybe,No,Software Developer
BBA,Business Administration,8.79,"Digital Marketing, Social Media Management, SEO","Communication, Leadership",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
M.Tech,AI & ML,8.89,"PyTorch, Computer Vision, NLP, Python","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
M.Tech,Computer Science,9.28,"Scikit-learn, SQL, Python, R","Critical Thinking, Problem-Solving",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Des,Graphic Design,8.15,"Figma, Adobe XD, User Research","Creativity, Problem-Solving",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
BBA,Business Administration,8.18,"Digital Marketing, Google Analytics, SEO","Leadership, Communication",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Social Media Manager
B.Des,Graphic Design,8.62,"Adobe Illustrator, Adobe Photoshop, Figma","Creativity, Attention to Detail",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,No,Graphic Designer
Diploma,Mechanical Engineering,8.2,"AutoCAD, MATLAB, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Civil Engineer
B.Tech,Data Science,8.85,"Scikit-learn, R, Python, TensorFlow","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,Yes,Data Scientist
M.Tech,Data Science,8.72,"Scikit-learn, Python, R, TensorFlow","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,Data Scientist
B.Tech,Mechanical Engineering,7.45,"AutoCAD, MATLAB","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
B.Tech,Graphic Design,9.08,"Figma, User Research, Adobe XD, Sketch","Empathy, Problem-Solving",Ambivert,12+ LPA,No Certification,I like a mix of both,Visual,Yes,No,Graphic Designer
B.Tech,Computer Science,8.04,"Python, Git, JavaScript","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Visual,Maybe,No,Software Developer
B.Tech,Graphic Design,8.15,"Adobe XD, User Research","Creativity, Problem-Solving",Ambivert,12+ LPA,No Certification,I like a mix of both,Visual,Yes,No,Graphic Designer
BBA,Marketing,7.82,"Digital Marketing, SEO","Communication, Creativity",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
B.Tech,Human-Computer Interaction,8.51,"User Research, Sketch, Figma","Creativity, Problem-Solving",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
BBA,Business Administration,7.84,"Google Analytics, SEO, Digital Marketing, Social Media Management","Creativity, Leadership",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
M.Tech,Computer Science,8.97,"TensorFlow, Computer Vision, PyTorch, NLP","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
M.Tech,Data Science,8.99,"Scikit-learn, Python, R, SQL","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,No,AI Specialist
MBA,Commerce,8.82,"MS Excel, SQL, Financial Modeling","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,Maybe,No,Business Analyst
M.Tech,AI & ML,9.3,"PyTorch, NLP, TensorFlow, Python, Computer Vision","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.A.,Graphic Design,6.52,"Figma, Adobe Illustrator, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
B.Tech,Computer Science,9.39,"Scikit-learn, R, SQL, TensorFlow, Python","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,No,Data Scientist
B.Tech,Computer Science,8.99,"SQL, Java, Git, Python, JavaScript","Problem-Solving, Teamwork",Introvert,12+ LPA,Coursera - Python for Everybody,I like a mix of both,Visual,Yes,No,Software Developer
